assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
147613991,147377587,Ilex dipyrena,PLANTAE,TRACHEOPHYTA,AQUIFOLIALES,MAGNOLIOPSIDA,AQUIFOLIACEAE,Ilex,dipyrena,,,,Wall.,Least Concern,,3.1,Stable,Global
147614133,147480182,Embelia sessiliflora,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,PRIMULACEAE,Embelia,sessiliflora,,,,Kurz,Least Concern,,3.1,Stable,Global
147614413,147477941,Symplocos glomerata,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,SYMPLOCACEAE,Symplocos,glomerata,,,,King ex C.B.Clarke,Least Concern,,3.1,Stable,Global
147614484,147480856,Trema tomentosum,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,CANNABACEAE,Trema,tomentosum,,,,(Roxb.) H.Hara,Least Concern,,3.1,Stable,Global
147614687,147369287,Illicium simonsii,PLANTAE,TRACHEOPHYTA,AUSTROBAILEYALES,MAGNOLIOPSIDA,SCHISANDRACEAE,Illicium,simonsii,,,,Maxim.,Least Concern,,3.1,Stable,Global
147614918,147494543,Ficus tikoua,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,MORACEAE,Ficus,tikoua,,,,Bureau,Least Concern,,3.1,Stable,Global
147614995,147494668,Ficus variegata,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,MORACEAE,Ficus,variegata,,,,Blume,Least Concern,,3.1,Stable,Global
147615365,147615363,Antidesma ghaesembilla,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,PHYLLANTHACEAE,Antidesma,ghaesembilla,,,,Gaertn.,Least Concern,,3.1,Stable,Global
147615582,147615580,Syzygium claviflorum,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,MYRTACEAE,Syzygium,claviflorum,,,,(Roxb.) Wall. ex A.M.Cowan &amp; Cowan,Least Concern,,3.1,Stable,Global
147616047,147616045,Baccaurea ramiflora,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,PHYLLANTHACEAE,Baccaurea,ramiflora,,,,Lour.,Least Concern,,3.1,Stable,Global
147616166,147494343,Ficus ischnopoda,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,MORACEAE,Ficus,ischnopoda,,,,Miq.,Least Concern,,3.1,Stable,Global
147616879,85520421,Buddleja asiatica,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,SCROPHULARIACEAE,Buddleja,asiatica,,,,Lour.,Least Concern,,3.1,Stable,Global
147617036,147617034,Commersonia bartramia,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,MALVACEAE,Commersonia,bartramia,,,,(L.) Merr.,Least Concern,,3.1,Stable,Global
147617450,147617448,Eurya handel-mazzettii,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,PENTAPHYLACACEAE,Eurya,handel-mazzettii,,,,Hung T.Chang,Least Concern,,3.1,Stable,Global
147617680,88319896,Brucea javanica,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,SIMAROUBACEAE,Brucea,javanica,,,,(L.) Merr.,Least Concern,,3.1,Stable,Global
147618011,136650929,Lithocarpus fenestratus,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,FAGACEAE,Lithocarpus,fenestratus,,,,(Roxb.) Rehder,Least Concern,,3.1,Stable,Global
147618173,191232,Trevesia palmata,PLANTAE,TRACHEOPHYTA,APIALES,MAGNOLIOPSIDA,ARALIACEAE,Trevesia,palmata,,,,(Roxb. ex Lindl.) Vis.,Least Concern,,3.1,Stable,Global
147618511,147377251,Stachyurus himalaicus,PLANTAE,TRACHEOPHYTA,CROSSOSOMATALES,MAGNOLIOPSIDA,STACHYURACEAE,Stachyurus,himalaicus,,,,Hook.f. &amp; Thomson ex Benth.,Least Concern,,3.1,Stable,Global
147618884,147494376,Ficus langkokensis,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,MORACEAE,Ficus,langkokensis,,,,Drake,Least Concern,,3.1,Stable,Global
147619033,147493418,Ficus fulva,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,MORACEAE,Ficus,fulva,,,,Reinw. ex Blume,Least Concern,,3.1,Stable,Global
147619205,147389414,Viburnum odoratissimum,PLANTAE,TRACHEOPHYTA,DIPSACALES,MAGNOLIOPSIDA,VIBURNACEAE,Viburnum,odoratissimum,,,,Ker Gawl.,Least Concern,,3.1,Stable,Global
147619806,147494459,Ficus subincisa,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,MORACEAE,Ficus,subincisa,,,,Buch.-Ham. ex Sm.,Least Concern,,3.1,Stable,Global
147619921,147619919,Bridelia tomentosa,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,PHYLLANTHACEAE,Bridelia,tomentosa,,,,Blume,Least Concern,,3.1,Stable,Global
147620206,147481874,Ulmus parvifolia,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,ULMACEAE,Ulmus,parvifolia,,,,Jacq.,Least Concern,,3.1,Stable,Global
147620598,147620596,Leea indica,PLANTAE,TRACHEOPHYTA,VITALES,MAGNOLIOPSIDA,VITACEAE,Leea,indica,,,,(Burm.f.) Merr.,Least Concern,,3.1,Stable,Global
147620852,147620850,Eurya cavinervis,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,PENTAPHYLACACEAE,Eurya,cavinervis,,,,Vesque,Least Concern,,3.1,Stable,Global
147621192,147621190,Phoebe lanceolata,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Phoebe,lanceolata,,,,(Nees) Nees,Least Concern,,3.1,Stable,Global
147621495,147621493,Croton tiglium,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,EUPHORBIACEAE,Croton,tiglium,,,,L.,Least Concern,,3.1,Stable,Global
147621701,147621699,Erythroxylum sinense,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,ERYTHROXYLACEAE,Erythroxylum,sinense,,,,Y.C.Wu,Least Concern,,3.1,Stable,Global
147622036,147622034,Harrisonia perforata,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,RUTACEAE,Harrisonia,perforata,,,,(Blanco) Merr.,Least Concern,,3.1,Stable,Global
147622728,147622726,Eurya trichocarpa,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,PENTAPHYLACACEAE,Eurya,trichocarpa,,,,Korth.,Least Concern,,3.1,Stable,Global
147622835,147370845,Salix tetrasperma,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,SALICACEAE,Salix,tetrasperma,,,,Roxb.,Least Concern,,3.1,Stable,Global
147622942,147482769,Ziziphus oenopolia,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,RHAMNACEAE,Ziziphus,oenopolia,,,,(L.) Mill.,Least Concern,,3.1,Stable,Global
147623186,147492469,Ficus concinna,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,MORACEAE,Ficus,concinna,,,,(Miq.) Miq.,Least Concern,,3.1,Stable,Global
147623376,73088912,Ficus microcarpa,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,MORACEAE,Ficus,microcarpa,,,,L.f.,Least Concern,,3.1,Stable,Global
147623604,85554094,Rhodomyrtus tomentosa,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,MYRTACEAE,Rhodomyrtus,tomentosa,,,,(Aiton) Hassk.,Least Concern,,3.1,Stable,Global
147623962,147482024,Debregeasia squamata,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,URTICACEAE,Debregeasia,squamata,,,,King ex Hook.f.,Least Concern,,3.1,Stable,Global
147624057,147509114,Celtis timorensis,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,CANNABACEAE,Celtis,timorensis,,,,Span.,Least Concern,,3.1,Stable,Global
147624856,147493724,Ficus glaberrima,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,MORACEAE,Ficus,glaberrima,,,,Blume,Least Concern,,3.1,Stable,Global
147625565,147625563,Parameria laevigata,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,APOCYNACEAE,Parameria,laevigata,,,,(Juss.) Moldenke,Least Concern,,3.1,Stable,Global
147625915,145301455,Cinnamomum bejolghota,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Cinnamomum,bejolghota,,,,(Buch.-Ham.) Sweet,Least Concern,,3.1,Stable,Global
147626023,18435638,Antidesma bunius,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,PHYLLANTHACEAE,Antidesma,bunius,,,,(L.) Spreng.,Least Concern,,3.1,Stable,Global
147626179,136650500,Lithocarpus dealbatus,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,FAGACEAE,Lithocarpus,dealbatus,,,,(Hook.f. &amp; Thomson ex Miq.) Rehder,Least Concern,,3.1,Stable,Global
147626275,138592559,Castanopsis echinocarpa,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,FAGACEAE,Castanopsis,echinocarpa,,,,Miq.,Least Concern,,3.1,Stable,Global
